TRIG,particles,simulation_id,composition,energy,particles_normalized
TRIG3,2,390,Proton,1E14,0.0006561679790026247
TRIG1,1,115,Iron,3.16E15,0.0
TRIG3,24,937,Iron,1E15,0.015091863517060367
TRIG3,21,120,Iron,1E15,0.013123359580052493
TRIG3,57,387,Photon,1E15,0.03674540682414698
TRIG1,7,948,Proton,1E15,0.003937007874015748
TRIG1,10,109,Nitrogen,3.16E14,0.005905511811023622
TRIG2,180,239,Proton,3.16E15,0.11745406824146981
TRIG3,9,304,Photon,3.16E14,0.005249343832020997
TRIG3,14,877,Photon,1E15,0.00853018372703412
TRIG3,4,55,Nitrogen,1E15,0.001968503937007874
TRIG3,112,685,Proton,1E15,0.07283464566929133
TRIG3,5,362,Proton,3.16E14,0.0026246719160104987
TRIG3,49,840,Photon,1E15,0.031496062992125984
TRIG3,2,21,Iron,3.16E15,0.0006561679790026247
TRIG2,17,666,Proton,1E15,0.010498687664041995
TRIG3,4,472,Proton,3.16E14,0.001968503937007874
TRIG3,2,224,Carbon,3.16E14,0.0006561679790026247
TRIG3,1,994,Proton,3.16E14,0.0
TRIG3,8,105,Proton,3.16E14,0.004593175853018373
TRIG1,1041,7,Proton,3.16E15,0.6824146981627297
TRIG2,41,773,Proton,1E15,0.026246719160104987
TRIG1,8,388,Proton,1E15,0.004593175853018373
TRIG2,3,218,Photon,3.16E14,0.0013123359580052493
TRIG1,9,572,Iron,1E15,0.005249343832020997
TRIG1,65,93,Proton,3.16E14,0.04199475065616798
TRIG2,3,520,Iron,3.16E14,0.0013123359580052493
TRIG1,100,936,Photon,1E15,0.06496062992125984
TRIG1,39,145,Proton,1E15,0.024934383202099737
TRIG1,71,986,Proton,1E15,0.045931758530183726
TRIG3,30,182,Oxygen,1E15,0.019028871391076115
TRIG1,326,138,Photon,3.16E15,0.21325459317585302
TRIG1,55,220,Photon,1E15,0.03543307086614173
TRIG3,11,195,Proton,3.16E14,0.006561679790026247
TRIG3,11,239,Carbon,1E15,0.006561679790026247
TRIG1,21,761,Photon,3.16E14,0.013123359580052493
TRIG1,8,132,Iron,3.16E15,0.004593175853018373
TRIG1,26,632,Photon,1E15,0.016404199475065617
TRIG3,59,270,Proton,1E15,0.03805774278215223
TRIG1,10,270,Carbon,1E15,0.005905511811023622
TRIG3,23,531,Proton,1E15,0.014435695538057743
TRIG2,5,181,Proton,1E15,0.0026246719160104987
TRIG3,20,905,Photon,3.16E14,0.012467191601049869
TRIG3,8,198,Iron,3.16E15,0.004593175853018373
TRIG2,5,982,Iron,1E15,0.0026246719160104987
TRIG1,17,899,Proton,1E15,0.010498687664041995
TRIG1,66,681,Photon,1E15,0.04265091863517061
TRIG3,33,44,Oxygen,3.16E15,0.02099737532808399
TRIG1,12,280,Iron,3.16E15,0.007217847769028871
TRIG1,9,666,Photon,1E14,0.005249343832020997
TRIG3,28,44,Nitrogen,3.16E15,0.017716535433070866
TRIG3,128,978,Proton,1E15,0.08333333333333333
TRIG1,33,588,Photon,1E15,0.02099737532808399
TRIG2,6,121,Iron,3.16E15,0.0032808398950131233
TRIG1,10,282,Proton,3.16E14,0.005905511811023622
TRIG3,33,285,Photon,1E15,0.02099737532808399
TRIG3,8,693,Photon,3.16E14,0.004593175853018373
TRIG2,6,162,Iron,1E15,0.0032808398950131233
TRIG1,3,80,Oxygen,3.16E14,0.0013123359580052493
TRIG3,8,389,Photon,3.16E14,0.004593175853018373
TRIG1,70,770,Proton,1E15,0.045275590551181105
TRIG1,38,4,Photon,3.16E15,0.024278215223097113
